store,address,Latitude,Longitude
영등포역사점,서울특별시 영등포구 경인로 846 영등포 민자역사,37.5154133,126.9071288
롯데마트잠실점,서울특별시 송파구 올림픽로 240 롯데월드,37.5111158,127.098167
이대점,서울특별시 서대문구 이화여대길 59 메르체쇼핑몰,37.5589515,126.9451442
롯데마트금천점,서울특별시 금천구 시흥대로 291 금천롯데캐슬골드파크3차,37.4611632,126.8971642
건대시네마점,서울특별시 광진구 아차산로 272 더샵스타시티,37.5374205,127.0726136
을지로입구역사점,서울특별시 중구 을지로 42 을지로입구역 2호선,37.566065,126.982679
염창점,서울특별시 양천구 공항대로 630,37.5466178,126.8748256
충무로점,서울특별시 중구 서애로 7,37.5613384,126.9984262
이태원점,서울특별시 용산구 이태원로 179 해밀톤호텔 (본관),37.5347906,126.9935937
미아점,서울특별시 강북구 도봉로 45 숭인시장,37.613141,127.029269
숙대점,서울특별시 용산구 청파로47길 49 캠퍼스프라자,37.5445375,126.9675519
용산역점,서울특별시 용산구 한강대로23길 55 용산역,37.52989,126.964775
구로디지털점,서울특별시 구로구 디지털로32길 79 조영빌딩,37.4834102,126.8997098
잠실점,서울특별시 송파구 올림픽로 240,37.5112348,127.0980274
강남엔터점,서울특별시 서초구 신반포로 지하 188,37.5045778,127.0056918
롯데몰은평점,서울특별시 은평구 통일로 1050,37.6375145,126.9177904
위례점,서울특별시 송파구 위례광장로 136,37.4800023,127.144229
영플라자명동점,서울특별시 중구 남대문로 67,37.5634661,126.9815063
건대로데오점,서울특별시 광진구 동일로 20길 106,37.5395126,127.0691379
한티역점,서울특별시 강남구 선릉로 64길 19,37.4982025,127.053862
안암점,서울특별시 성북구 인촌로 24길 6,37.5859316,127.0291985
이수점,서울특별시 동작구 동작대로 119,37.487267,126.9818565
선릉점,서울특별시 강남구 테헤란로 408,37.5044305,127.0503734
당산점,서울특별시 영등포구 양평로 48,37.5344336,126.901288
코엑스몰점,서울특별시 강남구 영동대로 513,37.5101935,127.0585824
강남점,서울특별시 강남구 봉은사로2길 31,37.5025499,127.0265616
구로점,서울특별시 관악구 시흥대로 576,37.4840262,126.9030646
종각점,서울특별시 종로구 종로5길 7 Tower 8,37.5706921,126.9805665
신논현점,서울특별시 강남구 강남대로 502 서희빌딩,37.5070984,127.0236612
안국점,서울특별시 종로구 율곡로 45,37.5762691,126.9843569
월드몰2호점,서울특별시 송파구 올림픽로 300,37.5213517,127.1026097
월드몰1호점,서울특별시 송파구 올림픽로 300,37.5213517,127.1026097
화곡점,서울특별시 강서구 화곡로 161 대성빌딩,37.5415632,126.8396504
롯데마트서울역점,서울특별시 중구 청파로 426,37.5574069,126.9694999
가로수길점,서울특별시 강남구 강남대로152길 45 우림빌딩,37.5184859,127.0230221
신천점,서울특별시 송파구 올림픽로 114 서경빌딩,37.5113715,127.0831519
건대점,서울특별시 광진구 아차산로 219 삼영빌딩,37.5410673,127.0679892
노원시네마점,서울특별시 노원구 동일로 1414 롯데백화점,37.6552207,127.0612826
왕십리역사점,서울특별시 성동구 왕십리광장로 17,37.5621482,127.0379421
수유점,서울특별시 강북구 도봉로 342,37.6380167,127.026135
압구정역점,서울특별시 강남구 논현로 857 계룡빌딩,37.5252994,127.028074
잠실캐슬점,서울특별시 송파구 올림픽로 269,37.5143367,127.1005715
홍대역점,서울특별시 마포구 양화로 156 LG팰리스빌딩,37.5560805,126.9234453
홍대점,서울특별시 마포구 양화로18길 3 삼양세븐스프링스,37.5569582,126.9244326
