store,address,Latitude,Longitude
랄라블라 화곡점,서울특별시 강서구 화곡로 157 (화곡3동 1065-9),37.541537,126.839096
랄라블라 홍제점,서울특별시 서대문구 통일로 440-1 홍제역 (홍제동 161-1),37.5830576,126.9472406
랄라블라 홍대중앙점,서울특별시 마포구 홍익로6길 15 삼주빌딩 (동교동 162-3),37.5553194,126.9226786
랄라블라 현대시티아울렛동대문점,서울특별시 중구 장충단로13길 20 현대시티아울렛 지하1층 (을지로6가 17-2),37.5686986,127.0076666
랄라블라 현대시티몰 가든파이브점,서울특별시 송파구 충민로 66 현대시티몰 몰관 지하1층 (문정동 634),37.477416,127.1244694
랄라블라 합정메세나점,서울특별시 마포구 양화로 45 (합정동 414),37.5489656,126.9134767
랄라블라 파크하비오점,서울특별시 송파구 송파대로 111 (문정동 618),37.4857615,127.1317586
랄라블라 파리공원점,서울특별시 양천구 목동서로 65 (목동 907-5),37.536148,126.878813
랄라블라 파르나스몰점,서울특별시 강남구 테헤란로 521 그랜드인터콘티넨탈호텔 (삼성동 159-8),37.5088823,127.0608141
랄라블라 중대점,서울특별시 동작구 흑석로 94 (흑석동 223-1),37.507211,126.9599531
랄라블라 잠실신천점,서울특별시 송파구 올림픽로 96 103호(잠실동 181),37.5114268,127.0812007
랄라블라 인사동점,"서울특별시 종로구 인사동길 49, 지상 2-M층 (관훈동 155-2)",37.5745237,126.9838225
랄라블라 이대점,서울특별시 서대문구 이화여대길 34 (대현동 54-4),37.5583821,126.9459524
랄라블라 우장산역점,서울특별시 강서구 강서로 251 1층 (내발산동 723-9),37.5480895,126.8360068
랄라블라 용산아이파크점,"서울특별시 용산구 한강대로23길 55 용산역 동관6층 038-002,003호 (한강로3가 40-999)",37.5288539,126.9640447
랄라블라 영풍종로점,"서울특별시 종로구 청계천로 41, 지하2층 (서린동 33, 영풍빌딩)",37.5696304,126.9821706
랄라블라 영등포점,서울특별시 영등포구 영중로2길 1 (영등포동3가 10-15),37.5169706,126.9072591
랄라블라 염창역점,서울특별시 강서구 공항대로 631 염창역 9호선 지하 1층 (염창동 284-84),37.5470283,126.8751669
랄라블라 연신내점,서울특별시 은평구 통일로 855-20 (갈현동 396-9),37.6196225,126.9199515
랄라블라 연대점,서울특별시 서대문구 연세로 28-1 (창천동 31-23),37.5581208,126.937103
랄라블라 양재역점,서울특별시 서초구 남부순환로 2585 양재역 (서초동 1366-9),37.484102,127.034369
랄라블라 아차산점,서울특별시 광진구 천호대로 661 정성빌딩 (구의동 53-1),37.5519762,127.0900944
랄라블라 신촌대로점,서울특별시 서대문구 신촌로 109 (창천동 29-81),37.5558225,126.9379347
랄라블라 신림청암점,서울특별시 관악구 신림로 318 청암두산위브센티움 (신림동 86-3),37.4825442,126.930171
랄라블라 신림점,"서울특별시 관악구 신림로 317, 1층 (서원동 1638-17)",37.4826354,126.9296355
랄라블라 신논현역점,"서울특별시 서초구 강남대로 465 신논현역 B2F 2,6,7번출구 방향",37.51421,127.03047
랄라블라 숙대2호점,"서울특별시 용산구 청파로47길 66 (청파동2가 63-5, 중하빌딩)",37.5450432,126.966755
랄라블라 수유점,서울특별시 강북구 도봉로87길 7 (수유동 229-35),37.6381445,127.0250298
랄라블라 성신여대점,서울시 성북구 동소문로20다길 17(동선동1가 3-2),37.5919146,127.0176763
랄라블라 성대시장점,"서울특별시 동작구 상도로 102, 1층 163호 (상도동 324-1, 성대시장)",37.499818,126.9321903
랄라블라 서교점,"서울특별시 마포구 어울마당로 96, 1층 (서교동 358-113)",37.5534737,126.922248
랄라블라 미아사거리점,서울특별시 강북구 도봉로 52 와이스퀘어 1층 (미아동 1364),37.613711,127.030432
랄라블라 명동중앙점,서울특별시 중구 명동10길 35-15 (명동2가 25-1),37.5627334,126.9856737
랄라블라 명동2가점,서울특별시 중구 남대문로 64 (명동2가 90),37.5627298,126.9823859
