school,,address,Latitude,Longitude
서울시립대학교,대학교,서울 동대문구 서울시립대로 163 (전농동 90번지) ,37.583383,127.0593032
서울여자간호대학교,대학교,서울 서대문구 홍제3동 서울여자간호대학,37.597475,126.947416
서울여자대학교,대학교,서울특별시 노원구 화랑로 621 서울여자대학교,37.6281126,127.0904568
서일대학교,대학교,서울 중랑구 서일대학길 22(면목동 49-3) 서일대학교,37.5866169,127.0977437
성공회대학교,대학교,서울 구로구 항동 성공회대학교,37.4872325,126.8253202
성균관대학교,대학교,서울 종로구 명륜동3가 성균관대학교,37.588227,126.993606
성신여자대학교,대학교,서울 성북구 동선동3가 성신여자대학교,37.5915464,127.02127
세종대학교,대학교,서울 광진구 군자동 세종대학교,37.5502596,127.073139
숙명여자대학교,대학교,서울 용산구 청파로47길 100 숙명여자대학교,37.5463644,126.9648311
숭실대학교,대학교,서울 동작구 상도동 511 숭실대학교,37.4968208,126.958529
숭의여자대학교,대학교,서울특별시 중구 소파로2길 10(예장동),37.5567763,126.9875325
연세대학교,대학교,서울 서대문구 신촌동 연세대학교,37.565784,126.938572
이화여자대학교,대학교,서울 서대문구 대현동 11-1 이화여자대학교,37.5617015,126.9458061
인덕대학교,대학교,서울 노원구 초안산로 12,37.6313747,127.0555547
장로회신학대학교,대학교,서울 광진구 광장로 5길 25-1(광장동) 장로회신학대학교,37.5505112,127.1034577
적십자간호대학,대학교,서울 종로구 경교장길8,37.5672578,126.965871
중앙대학교 서울캠퍼스,대학교,서울 동작구 흑석로 84,37.5049996,126.957378
총신대학교,대학교,서울 동작구 사당동 산31-3,37.4800677,126.9755208
추계예술대학교,대학교,서울 서대문구 북아현동 190-1 추계예술대학교,37.5624515,126.9534165
한국방송통신대학교,대학교,서울 종로구 동숭동 한국방송통신대학교,37.5786127,127.0032905
한국성서대학교,대학교,서울 노원구 상계7동 한국성서대학교,37.6487485,127.0643199
한국예술종합학교,대학교,서울 성북구 석관동 ,37.6084827,127.0609186
한국외국어대학교,대학교,서울 동대문구 이문로 107,37.5976171,127.0582192
한국체육대학교,대학교,서울 송파구 오륜동 한국체육대학교,37.5196266,127.1309837
한국폴리텍 I 대학 서울강서캠퍼스,대학교,서울 강서구 화곡동 산60-1,37.5496169,126.842351
한국폴리텍Ⅰ대학 서울정수캠퍼스,대학교,서울 용산구 보광로 73(보광동 238),37.5290615,126.996542
한성대학교,대학교,서울 성북구 삼선동3가 389 한성대학교,37.5822608,127.0094254
한양대학교,대학교,서울특별시 성동구 왕십리로 222 ,37.5544649,127.0465971
한양여자대학교,대학교,서울 성동구 행당동 살곶이길 200,37.5580179,127.046734
한영신학대학교,대학교,서울 구로구 경인로 290-42  한영신학대학교,37.4965411,126.8512616
홍익대학교,대학교,서울특별시 마포구 와우산로 94(상수동),37.5484236,126.9252336
가톨릭대학교,대학교,서울 서초구 반포동 505,37.500612,127.0051811
가톨릭대학교,대학교,서울 종로구 창경궁로 296-12(혜화동) ,37.587496,127.0040214
감리교신학대학교,대학교,서울 서대문구 냉천동 감리교신학대학,37.5676455,126.96161
건국대학교,대학교,서울 광진구 화양동,37.5435547,127.073456
경기대학교,대학교,서울 서대문구 경기대로9길 24 경기대학교,37.5648332,126.9624113
경희대학교,대학교,서울 동대문구 회기동 경희대학교,37.5961951,127.052544
고려대학교,대학교,서울 성북구 안암동 고려대학교,37.590799,127.0277773
광운대학교,대학교,서울특별시 노원구 월계동 447-1,37.6194277,127.05982
국민대학교,대학교,서울 성북구 정릉3동 국민대학교,37.6119544,126.9977033
국제예술대학,대학교,서울 강남구 논현동 79,37.5168791,127.0310327
그리스도대학교,대학교,서울 강서구 화곡6동 그리스도대학교,37.5483449,126.8547974
덕성여자대학교,대학교,서울특별시 도봉구 삼양로 144길 33,37.6511988,127.0161604
동국대학교,대학교,서울 중구 필동3가 동국대학교,37.5582487,127.0001896
동덕여자대학교,대학교,서울 성북구 하월곡2동 동덕여자대학교,37.6063202,127.041808
동양미래대학교,대학교,서울시 구로구 경인로 445 동양미래대학교 (고척동 62-160),37.5004101,126.8677806
디지털서울문화예술대학교,대학교,서울시 서대문구 통일로 37길 60 (홍제동 318-18),37.58535,126.943915
명지대학교 인문캠퍼스,대학교,서울 서대문구 남가좌동 50-3,37.5802178,126.9233966
명지전문대학,대학교,서울 서대문구 가좌로 134 명지전문대학 ,37.5846465,126.9251874
배화여자대학교,대학교,서울 종로구 필운대로 1길 34 배화여자대학교,37.5793895,126.9653816
백석예술대학교,대학교,서울 서초구 방배로9길 23 백석예술대학교,37.480179,126.9963329
사이버한국외국어대학교,대학교,서울 동대문구 이문동 한국외국어대학교,37.597108,127.0588498
삼육대학교,대학교,서울시 노원구 화랑로 815(공릉2동 26-21),37.6426765,127.1052902
삼육보건대학교,대학교,서울 동대문구 휘경2동,37.5911446,127.0677097
상명대학교,대학교,서울 종로구 홍지동 상명대학교,37.602638,126.955252
서강대학교,대학교,서울 마포구 신수동 서강대학교,37.5509442,126.9410023
서경대학교,대학교,서울 성북구 정릉4동 서경대학교,37.6148855,127.0133508
서울과학기술대학교,대학교,서울 노원구 공릉로 232 (공릉동 172),37.6324657,127.0786713
서울과학기술대학교,대학교,서울시 노원구 공릉로 232 서울과학기술대학교,37.6316684,127.0774813
서울교육대학교,대학교,서울 서초구 서초중앙로 96(서초동 1650),37.4899615,127.0164124
서울기독대학교,대학교,서울 은평구 갈현로 4길 26-2호,37.6009165,126.9120286
서울대학교,대학교,서울 관악구 관악로 1 서울대학교,37.459882,126.9519053
서울디지털대학교,대학교,서울 마포구 도화동 560번지,37.5429247,126.9478595
서울사이버대학교,대학교,서울 강북구 솔매로49길 60(미아동 193-15) 서울사이버대학교,37.6299355,127.0271582
경기상업고등학교,고등학교,서울특별시 종로구 자하문로 136,37.58925889,126.9700589
서일국제경영고등학교,고등학교,서울특별시 종로구 지봉로17길 49,37.5793722,127.0130226
대동세무고등학교,고등학교,서울특별시 종로구 계동길 84-10,37.5819196,126.9879303
성동글로벌경영고등학교,고등학교,서울특별시 중구 퇴계로 375,37.5656443,127.0132205
성동공업고등학교,고등학교,서울특별시 중구 다산로 290,37.5693545,127.0171338
한양공업고등학교,고등학교,서울특별시 중구 을지로 299,37.565376,127.0118163
경기여자상업고등학교,고등학교,서울특별시 중구 만리재로37길 30,37.5570331,126.9668351
리라아트고등학교,고등학교,서울특별시 중구 소파로2길 24,37.5571155,126.988191
대경상업고등학교,고등학교,서울특별시 중구 매봉18길 111,37.55669583,127.0175331
용산공업고등학교,고등학교,서울특별시 용산구 서빙고로 24,37.5243031,126.9671858
선린인터넷고등학교,고등학교,서울특별시 용산구 원효로97길 33-4,37.5427814,126.9663628
서울디지텍고등학교,고등학교,서울특별시 용산구 회나무로12길 27,37.538911,126.990534
덕수고등학교,고등학교,서울특별시 성동구 왕십리로 199,37.55526278,127.0411407
성수공업고등학교,고등학교,서울특별시 성동구 뚝섬로 365,37.540543,127.0514262
서울방송고등학교,고등학교,서울특별시 성동구 동호로5길 131,37.54777313,127.0110355
휘경공업고등학교,고등학교,서울특별시 동대문구 겸재로 21,37.5849213,127.0695589
해성국제컨벤션고등학교,고등학교,서울특별시 동대문구 전농로20길 31,37.5812848,127.0569633
정화여자상업고등학교,고등학교,서울특별시 동대문구 홍릉로15길 50,37.5857448,127.0408473
송곡관광고등학교,고등학교,서울특별시 중랑구 양원역로 67,37.6063172,127.1053983
이화여자대학교병설미디어고등학교,고등학교,서울특별시 중랑구 망우로73길 56,37.6037439,127.1049794
서울도시과학기술고등학교,고등학교,서울특별시 성북구 종암로 196,37.6074229,127.03236
동구마케팅고등학교,고등학교,서울특별시 성북구 성북로8길 71,37.5935994,127.0071027
고명경영고등학교,고등학교,서울특별시 성북구 북악산로 870,37.5975051,127.0199462
성암국제무역고등학교,고등학교,서울특별시 강북구 도봉로29길 52,37.6207354,127.024471
서울문화고등학교,고등학교,서울특별시 도봉구 마들로 598,37.6638554,127.0475357
세그루패션디자인고등학교,고등학교,서울특별시 도봉구 시루봉로 53,37.655351,127.0268289
경기기계공업고등학교,고등학교,서울특별시 노원구 공릉로 264,37.6344163,127.0742785
광운전자공업고등학교,고등학교,서울특별시 노원구 광운로1길 24,37.6208454,127.0561467
영신간호비즈니스고등학교,고등학교,서울특별시 노원구 중계로16나길 13,37.6521121,127.0828722
염광여자메디텍고등학교,고등학교,서울특별시 노원구 월계로45가길 9,37.63025824,127.0492435
인덕공업고등학교,고등학교,서울특별시 노원구 초안산로 12,37.6313747,127.0555547
동산정보산업고등학교,고등학교,서울특별시 노원구 공릉로 257,37.6301266,127.0741844
미래산업과학고등학교,고등학교,서울특별시 노원구 덕릉로82길 54,37.6590494,127.0786348
서울아이티고등학교,고등학교,서울특별시 노원구 섬밭로 299,37.6421764,127.0619553
선정관광고등학교,고등학교,서울특별시 은평구 서오릉로20길 19,37.618336,126.9087149
선일이비즈니스고등학교,고등학교,서울특별시 은평구 갈현로29길 27,37.6197497,126.9126173
예일디자인고등학교,고등학교,서울특별시 은평구 연서로 117,37.6101791,126.9151623
동명여자정보산업고등학교,고등학교,서울특별시 은평구 통일로 793,37.6146895,126.9240099
신진과학기술고등학교,고등학교,서울특별시 은평구 은평로6길 16,37.5983306,126.9184276
은평메디텍고등학교,고등학교,서울특별시 은평구 진관2로 57-57,37.6351761,126.929375
세명컴퓨터고등학교,고등학교,서울특별시 은평구 통일로92가길 33,37.6275592,126.9231578
홍익디자인고등학교,고등학교,서울특별시 마포구 성미산로 111,37.56350983,126.9191674
한세사이버보안고등학교,고등학교,서울특별시 마포구 마포대로11길 44-80,37.5517898,126.9520321
서울디자인고등학교,고등학교,서울특별시 마포구 백범로 139,37.5463299,126.9473737
서울금융고등학교,고등학교,서울특별시 양천구 가로공원로61길 19,37.5378303,126.8255403
서울영상고등학교,고등학교,서울특별시 양천구 목동로11길 46,37.5231812,126.8600333
강서공업고등학교,고등학교,서울특별시 강서구 방화대로47길 9,37.5754999,126.8160214
화곡보건경영고등학교,고등학교,서울특별시 강서구 강서로45길 70,37.5488204,126.8328267
신정여자상업고등학교,고등학교,서울특별시 강서구 등촌로13아길 20,37.5380245,126.8568925
서울항공비즈니스고등학교,고등학교,서울특별시 강서구 방화대로34길 13,37.5697071,126.8170866
영등포공업고등학교,고등학교,서울특별시 강서구 허준로5길 15,37.5692245,126.8504967
예림디자인고등학교,고등학교,서울특별시 구로구 오리로21길 2,37.4996945,126.8282053
덕일전자공업고등학교,고등학교,서울특별시 구로구 서해안로21길 5-12,37.490578,126.8371091
유한공업고등학교,고등학교,서울특별시 구로구 경인로 8,37.4878646,126.8240073
서서울생활과학고등학교,고등학교,서울특별시 구로구 오리로 1355-10,37.5032117,126.8281605
동일여자상업고등학교,고등학교,서울특별시 금천구 탑골로10길 45,37.45167193,126.9168874
한강미디어고등학교,고등학교,서울특별시 영등포구 선유로55길 22,37.5391173,126.8972396
서울공업고등학교,고등학교,서울특별시 동작구 대방동1길 46,37.50190153,126.9223834
서울여자상업고등학교,고등학교,서울특별시 관악구 관악로 85,37.4731302,126.9513293
광신정보산업고등학교,고등학교,서울특별시 관악구 광신길 141,37.4651377,126.9256312
서울관광고등학교,고등학교,서울특별시 관악구 은천로15길 25,37.4881856,126.9433831
영락유헬스고등학교,고등학교,서울특별시 관악구 청룡16길 25,37.4763905,126.9446913
서울전자고등학교,고등학교,서울특별시 서초구 과천대로 852-23,37.4693105,126.988415
