행정구역,행정동,전체_2017,1층_2017,1층 외_2017
종로구,청운효자동,145613 ,168769 ,87723 
종로구,사직동,133318 ,169860 ,109321 
종로구,삼청동,163866 ,191049 ,102705 
종로구,부암동,111608 ,146085 ,64203 
종로구,평창동,91614 ,109005 ,68426 
종로구,무악동,111121 ,167798 ,54443 
종로구,교남동,NA,223723 ,NA
종로구,가회동,149784 ,172556 ,98546 
종로구,종로1.2.3.4가동,190487 ,264188 ,107573 
종로구,종로5.6가동,281484 ,270156 ,287623 
종로구,이화동,118462 ,156016 ,85080 
종로구,혜화동,117280 ,137231 ,83516 
종로구,창신1동,170798 ,224137 ,118671 
종로구,창신2동,89468 ,123417 ,50297 
종로구,창신3동,NA,NA,236045 
종로구,숭인1동,133618 ,135334 ,131387 
종로구,숭인2동,101733 ,145243 ,56819 
중구,소공동,168228 ,222345 ,124935 
중구,회현동,371311 ,432927 ,342241 
중구,명동,137111 ,201337 ,109721 
중구,필동,103087 ,141156 ,69097 
중구,장충동,88690 ,113983 ,65927 
중구,광희동,200398 ,214938 ,193043 
중구,을지로동,139718 ,205155 ,80717 
중구,신당동,372980 ,252842 ,399729 
중구,다산동,86601 ,115966 ,63867 
중구,약수동,90990 ,117977 ,72307 
중구,청구동,87203 ,101871 ,74002 
중구,신당5동,107268 ,122579 ,97524 
중구,동화동,77761 ,99578 ,58021 
중구,황학동,133635 ,164498 ,64192 
중구,중림동,108200 ,107650 ,109255 
용산구,후암동,91329 ,115588 ,49426 
용산구,용산2가동,104632 ,111724 ,86193 
용산구,남영동,83943 ,94484 ,67078 
용산구,청파동,108686 ,142445 ,63323 
용산구,원효로1동,107917 ,126671 ,73451 
용산구,원효로2동,84829 ,128628 ,60810 
용산구,효창동,155155 ,145855 ,170654 
용산구,용문동,85916 ,108789 ,55419 
용산구,한강로동,97985 ,114817 ,86145 
용산구,이촌1동,174910 ,228508 ,133924 
용산구,이촌2동,NA,79762 ,NA
용산구,이태원1동,167252 ,192262 ,133686 
용산구,이태원2동,142709 ,179893 ,105526 
