store,address,Latitude,Longitude
교대점,서울특별시 서초구 서초중앙로 95 1층,37.4903324,127.0139376
서초대로점,서울특별시 서초구 서초대로 314 정보통신공제조합회관,37.4940166,127.0158568
서초유원점,서울특별시 서초구 서초중앙로24길 35,37.4953788,127.0174629
남부터미널점,서울특별시 서초구 효령로 283 서경빌딩 1층,37.4849783,127.0150098
서초역점,서울특별시 서초구 반포대로 110,37.4898999,127.0090956
서초타운점,서울특별시 서초구 서초대로78길 32,37.4949613,127.0279878
강남역사거리점,서울특별시 서초구 서초대로77길 3 아라타워 1층,37.498044,127.0264112
강남우성점,서울특별시 강남구 강남대로 318 1층,37.4915374,127.0311781
올리브영 강남,서울특별시 강남구 강남대로 372,37.4959964,127.0290566
강남역센트럴점,서울특별시 강남구 테헤란로4길 6 1층,37.497342,127.029728
양재대로점,서울특별시 서초구 강남대로 267 1층,37.4871262,127.0323206
강남본점,서울특별시 서초구 강남대로 429 동일빌딩 1~3층,37.5007381,127.0257723
강남시티점,서울특별시 강남구 테헤란로1길 30 1층,37.500236,127.0274879
역삼점,서울특별시 강남구 테헤란로 115 서림빌딩 1층,37.4990285,127.029901
양재엘타워점,서울특별시 서초구 강남대로 213,37.482717,127.0349215
강남교보사거리점,서울특별시 강남구 강남대로 456 한석타워 2층,37.5030912,127.0255689
삼호가든사거리점,서울특별시 서초구 서초중앙로 239,37.5030662,127.010946
양재스타클래스점,서울특별시 강남구 남부순환로 2615,37.4851386,127.0358583
양재점,서울특별시 서초구 남부순환로 2606 1층,37.4843677,127.0359134
역삼역점,서울특별시 강남구 테헤란로 138 솔로몬역삼타워 1층,37.4995995,127.0342437
강남파이낸스점,서울특별시 강남구 테헤란로 152 강남파이낸스센터 지하2층,37.4999935,127.0365067
신논현역점,서울특별시 강남구 강남대로 480,37.5052347,127.0245531
남역삼점,서울특별시 강남구 논현로 318 메디빌딩 1층,37.5183227,127.0404292
신논현점,서울특별시 서초구 강남대로 507 1층,37.5071339,127.022678
강남엔터식스점,서울특별시 서초구 신반포로 지하 188 엔터식스 강남점,37.5045778,127.0056918
서래마을점,서울특별시 서초구 서래로 39 1층,37.4985085,126.9981973
센트럴시티점,서울특별시 서초구 신반포로 176,37.5041299,127.0030692
방배점,서울특별시 서초구 방배로 93,37.4825292,126.996588
NC강남점,서울특별시 서초구 잠원로 51 NC백화점 강남점 1층,37.509517,127.0073082
내방역점,서울특별시 서초구 방배로 184,37.4899917,126.9924614
언주역점,서울특별시 강남구 봉은사로 209,37.5078732,127.0349993
학동역점,서울특별시 강남구 학동로 177 태석빌딩 1층,37.5141463,127.0302717
방배카페거리점,서울특별시 서초구 방배중앙로 168 신정빌딩 1층,37.4768792,126.9848325
선릉아이타워점,서울특별시 강남구 테헤란로 326 역삼아이타워 1층 102호,37.5035856,127.0471808
신사점,서울특별시 강남구 도산대로 116 논현빌딩 1층,37.5165838,127.021501
타워팰리스점,서울특별시 강남구 언주로30길 39,37.4887091,127.0532038
선릉역점,서울특별시 강남구 선릉로 513,37.5052409,127.04829
올리브영 가로수길,서울특별시 강남구 도산대로 133,37.5178851,127.0229914
한티역점,서울특별시 강남구 선릉로 312 1층,37.4974998,127.0526427
가로수길입구점,서울특별시 강남구 도산대로 13길 5 1층,37.5181565,127.0231191
선릉로점,서울특별시 강남구 테헤란로64길 20 원동방빌딩 1층,37.5035716,127.0512697
선정릉역점,서울특별시 강남구 선릉로 602 1층,37.5106259,127.0439845
세관사거리점,서울특별시 강남구 학동로 235 영일빌딩 1층,37.5155421,127.0349654
방배이수점,서울특별시 서초구 동작대로 118 예다인프라자빌딩 1층,37.4869655,126.9827324
선릉타운점,서울특별시 강남구 테헤란로 411 성담빌딩 1층,37.5054325,127.0508253
강남구청역점,서울특별시 강남구 선릉로 703 1층,37.5176558,127.0407409
대치역점,서울특별시 강남구 남부순환로 2927,37.4935825,127.0603741
사당역지하상가점,서울특별시 동작구 동작대로 지하 3,37.480403,126.9816647
사당점,서울특별시 동작구 동작대로 29,37.49006,126.97817
대치점,서울특별시 강남구 도곡로 448 동서빌딩,37.4980724,127.0595468
양재하나로클럽점,서울특별시 서초구 청계산로 10 1층,37.4629917,127.0434134
사당역점,서울특별시 관악구 과천대로 941 지산빌딩,37.4746294,126.9814162
압구정타운점,서울특별시 강남구 논현로 842 압구정빌딩 1층,37.5240588,127.0287209
학동중앙점,서울특별시 강남구 도산대로 326,37.5223526,127.0377134
압구정점,서울특별시 강남구 논현로175길 6 1층,37.526327,127.0279079
코엑스몰점,서울특별시 강남구 테헤란로87길 22,37.5095948,127.0594292
남성역점,서울특별시 동작구 사당로 228,37.4834626,126.9728829
압구정역점,서울특별시 강남구 논현로 878 중산빌딩 1층,37.527127,127.028987
포이사거리점,서울특별시 강남구 논현로 82,37.4773465,127.0453232
학여울역점,서울특별시 강남구 영동대로 217,37.4981123,127.0683673
봉은사역점,서울특별시 강남구 영동대로 602,37.5145796,127.060586
압구정로데오점,서울특별시 강남구 압구정로50길 9,37.5276101,127.0382467
삼성점,서울특별시 강남구 테헤란로108길 22,37.5078919,127.0659124
청담사거리점,서울특별시 강남구 도산대로89길 8 엘에이치빌딩 1층,37.5250816,127.050588
낙성대인헌점,서울특별시 관악구 남부순환로248길 3 1층,37.4757153,126.9658448
순천향입구점,서울특별시 용산구 대사관로 71,37.5333591,127.0059705
한남오거리점,서울특별시 용산구 독서당로 65-1,37.533802,127.007749
동부이촌점,서울특별시 용산구 이촌로75길 16,37.52056,126.9743871
낙성대점,서울특별시 관악구 남부순환로 1909,37.4780739,126.9615951
올리브영 이태원,서울특별시 용산구 이태원로 180 스카이하이 2층,37.533286,126.989098
한남동점,서울특별시 용산구 이태원로 227,37.5355974,126.9988408
이태원입구점,서울특별시 용산구 이태원로 145,37.5345418,126.9898959
숭실대점,서울특별시 동작구 사당로 10 (상도동),37.4952808,126.9554244
중앙대점,서울특별시 동작구 흑석로 81,37.5070278,126.9585894
일원역점,서울특별시 강남구 일원로 115 삼성생명 일원동 빌딩 114호,37.4890175,127.0824833
관악로점,서울특별시 관악구 관악로 204 1층,37.4829083,126.9542726
서울대입구역점,서울특별시 관악구 남부순환로 1838,37.480389,126.953964
숭실대입구역점,서울특별시 동작구 상도로 358,37.4965983,126.9528988
서울대입구점,서울특별시 관악구 관악로 156 1층,37.4790837,126.9526808
올리브영 관악,서울특별시 관악구 관악로 171,37.4805149,126.9522165
신천점,서울특별시 송파구 올림픽로 116-1 신원빌딩 1층,37.5113636,127.0836165
서울숲역점,서울특별시 성동구 왕십리로 50 (성수동1가 656-335 1층),37.5418236,127.0449181
뚝섬유원지역점,서울특별시 광진구 능동로 7,37.5323053,127.0667564
석촌호수로점,서울특별시 송파구 석촌호수로 88 1층,37.5084731,127.086777
신용산역점,서울특별시 용산구 한강대로 95 (한강로2가 래미안용산),37.5326966,126.9705109
금호점,서울특별시 성동구 독서당로 302 1층,37.5475722,127.0227172
상도역점,서울특별시 동작구 양녕로 257,37.5031286,126.9472635
